src,page,alt,width,height,format,size,indexable,purpose
https://liftpdf.com/images/editorial/pdf-document-structure-diagram.svg,https://liftpdf.com,PDF document structure diagram showing pages text images metadata and links,686,343,svg,NOT_MEASURED,YES,content_or_ui
https://liftpdf.com/_next/image?url=%2Fimages%2Fseo%2Fjpg-to-pdf%2Fjpg-to-pdf-preview.webp&w=640&q=75,https://liftpdf.com/pdf-converter,LiftPDF JPG to PDF live page preview,580,389,,NOT_MEASURED,YES,content_or_ui
https://liftpdf.com/_next/image?url=%2Fimages%2Fseo%2Fjpg-to-pdf%2Fjpg-to-pdf-after.webp&w=640&q=75,https://liftpdf.com/pdf-converter,LiftPDF JPG to PDF successful conversion state,580,389,,NOT_MEASURED,YES,content_or_ui
https://liftpdf.com/_next/image?url=%2Fimages%2Fseo%2Fmerge-pdf%2Fmerge-pdf-before.webp&w=640&q=75,https://liftpdf.com/pdf-editor,LiftPDF PDF workflow preview before export,580,389,,NOT_MEASURED,YES,content_or_ui
https://liftpdf.com/_next/image?url=%2Fimages%2Fseo%2Fmerge-pdf%2Fmerge-pdf-after.webp&w=640&q=75,https://liftpdf.com/pdf-editor,LiftPDF PDF success state after export,580,389,,NOT_MEASURED,YES,content_or_ui
https://liftpdf.com/_next/image?url=%2Fimages%2Fseo%2Fjpg-to-pdf%2Fjpg-to-pdf-before.webp&w=640&q=75,https://liftpdf.com/pdf-image-tools,LiftPDF JPG to PDF selected images before conversion,580,389,,NOT_MEASURED,YES,content_or_ui
https://liftpdf.com/_next/image?url=%2Fimages%2Fseo%2Fjpg-to-pdf%2Fjpg-to-pdf-preview.webp&w=640&q=75,https://liftpdf.com/pdf-image-tools,LiftPDF JPG to PDF live page preview,580,389,,NOT_MEASURED,YES,content_or_ui
https://liftpdf.com/_next/image?url=%2Fimages%2Fseo%2Fmerge-pdf%2Fmerge-pdf-before.webp&w=640&q=75,https://liftpdf.com/organize-pdf,LiftPDF Merge PDF file order preview,580,389,,NOT_MEASURED,YES,content_or_ui
https://liftpdf.com/_next/image?url=%2Fimages%2Fseo%2Fmerge-pdf%2Fmerge-pdf-after.webp&w=640&q=75,https://liftpdf.com/organize-pdf,LiftPDF Merge PDF successful export state,580,389,,NOT_MEASURED,YES,content_or_ui
https://liftpdf.com/_next/image?url=%2Fimages%2Flearn%2Flearning-center-hero.webp&w=640&q=75,https://liftpdf.com/learn,"LiftPDF Learning Center visual with guides, tools and PDF workflow cards",620,372,,NOT_MEASURED,YES,content_or_ui
https://liftpdf.com/_next/image?url=%2Fimages%2Fseo%2Fextract-pages%2Fextract-pages-before.png&w=384&q=75,https://liftpdf.com/learn,LiftPDF Extract Pages visual page picker with PDF thumbnails,359,241,,NOT_MEASURED,YES,content_or_ui
https://liftpdf.com/_next/image?url=%2Fimages%2Fseo%2Fmerge-pdf%2Fmerge-pdf-workflow.webp&w=384&q=75,https://liftpdf.com/learn,"LiftPDF Merge PDF workflow with upload, preview and download steps",359,241,,NOT_MEASURED,YES,content_or_ui
https://liftpdf.com/_next/image?url=%2Fimages%2Fseo%2Fjpg-to-pdf%2Fjpg-to-pdf-workflow.webp&w=384&q=75,https://liftpdf.com/learn,"LiftPDF JPG to PDF workflow with upload, preview and download",359,241,,NOT_MEASURED,YES,content_or_ui
https://liftpdf.com/_next/image?url=%2Fimages%2Flearn%2Fpdf-security.webp&w=384&q=75,https://liftpdf.com/learn,PDF security learning visual with protected document,359,215,,NOT_MEASURED,YES,content_or_ui
https://liftpdf.com/_next/image?url=%2Fimages%2Flearn%2Fpdf-basics.webp&w=384&q=75,https://liftpdf.com/learn,Illustrated PDF basics workflow with pages and document blocks,260,155,,NOT_MEASURED,YES,content_or_ui
https://liftpdf.com/_next/image?url=%2Fimages%2Flearn%2Fconvert-pdf.webp&w=384&q=75,https://liftpdf.com/learn,PDF conversion workflow showing files changing formats,260,155,,NOT_MEASURED,YES,content_or_ui
https://liftpdf.com/_next/image?url=%2Fimages%2Flearn%2Forganize-pdf.webp&w=384&q=75,https://liftpdf.com/learn,Organize PDF visual with pages being merged and reordered,260,155,,NOT_MEASURED,YES,content_or_ui
