URL,HTTP,robots,meta_robots,canonical,sitemap,index_recommendation,reason
https://liftpdf.com,200,none,none,https://liftpdf.com/,YES,REVIEW,Status/canonical/robots require review
https://liftpdf.com/pdf-tools,200,none,none,https://liftpdf.com/pdf-tools,YES,INDEX,200 self-canonical and no noindex
https://liftpdf.com/pdf-converter,200,none,none,https://liftpdf.com/pdf-converter,YES,INDEX,200 self-canonical and no noindex
https://liftpdf.com/pdf-editor,200,none,none,https://liftpdf.com/pdf-editor,YES,INDEX,200 self-canonical and no noindex
https://liftpdf.com/pdf-security,200,none,none,https://liftpdf.com/pdf-security,YES,INDEX,200 self-canonical and no noindex
https://liftpdf.com/pdf-image-tools,200,none,none,https://liftpdf.com/pdf-image-tools,YES,INDEX,200 self-canonical and no noindex
https://liftpdf.com/organize-pdf,200,none,none,https://liftpdf.com/organize-pdf,YES,INDEX,200 self-canonical and no noindex
https://liftpdf.com/privacy,200,none,none,https://liftpdf.com/privacy,YES,INDEX,200 self-canonical and no noindex
https://liftpdf.com/cookies,200,none,none,https://liftpdf.com/cookies,YES,INDEX,200 self-canonical and no noindex
https://liftpdf.com/security,200,none,none,https://liftpdf.com/security,YES,INDEX,200 self-canonical and no noindex
https://liftpdf.com/about,200,none,none,https://liftpdf.com/about,YES,INDEX,200 self-canonical and no noindex
https://liftpdf.com/why-liftpdf,200,none,none,https://liftpdf.com/why-liftpdf,YES,INDEX,200 self-canonical and no noindex
https://liftpdf.com/terms,200,none,none,https://liftpdf.com/terms,YES,INDEX,200 self-canonical and no noindex
https://liftpdf.com/contact,200,none,none,https://liftpdf.com/contact,YES,INDEX,200 self-canonical and no noindex
https://liftpdf.com/learn,200,none,none,https://liftpdf.com/learn,YES,INDEX,200 self-canonical and no noindex
https://liftpdf.com/guides,200,none,none,https://liftpdf.com/guides,YES,INDEX,200 self-canonical and no noindex
https://liftpdf.com/pdf-glossary,200,none,none,https://liftpdf.com/pdf-glossary,YES,INDEX,200 self-canonical and no noindex
